French Ligue 1,Bastia,Paris Saint-Germain,0.0463,0.838
French Ligue 1,AS Monaco,Guingamp,0.5714,0.1669
Barclays Premier League,Hull City,Leicester City,0.3459,0.3621
Barclays Premier League,Crystal Palace,West Bromwich Albion,0.4214,0.2939
Barclays Premier League,Everton,Tottenham Hotspur,0.391,0.3401
Barclays Premier League,Middlesbrough,Stoke City,0.438,0.2692
Barclays Premier League,Burnley,Swansea City,0.4482,0.2663
Barclays Premier League,Southampton,Watford,0.5759,0.1874
French Ligue 1,Bordeaux,St Etienne,0.4232,0.2764
Barclays Premier League,Manchester City,Sunderland,0.8152,0.0525
French Ligue 1,Metz,Lille,0.3444,0.3479
French Ligue 1,Caen,Lorient,0.4737,0.2401
French Ligue 1,Montpellier,Angers,0.4939,0.2109
French Ligue 1,Dijon FCO,Nantes,0.4471,0.249
Barclays Premier League,AFC Bournemouth,Manchester United,0.2111,0.5461
French Ligue 1,AS Nancy Lorraine,Lyon,0.3584,0.3551
Barclays Premier League,Arsenal,Liverpool,0.5551,0.2115
French Ligue 1,Nice,Stade Rennes,0.475,0.2298
French Ligue 1,Marseille,Toulouse,0.5033,0.2126
Barclays Premier League,Chelsea,West Ham United,0.6908,0.1177
Spanish Primera Division,Málaga,Osasuna,0.5475,0.1897
French Ligue 1,Lyon,Caen,0.6106,0.1554
Barclays Premier League,Manchester United,Southampton,0.6197,0.1494
Spanish Primera Division,Deportivo La Coruña,Eibar,0.5003,0.226
Barclays Premier League,Stoke City,Manchester City,0.1278,0.672
Barclays Premier League,Tottenham Hotspur,Crystal Palace,0.6638,0.119
Barclays Premier League,West Bromwich Albion,Everton,0.3696,0.3491
Barclays Premier League,Watford,Chelsea,0.1955,0.5783
Barclays Premier League,Swansea City,Hull City,0.4993,0.2171
Barclays Premier League,Burnley,Liverpool,0.2079,0.552
French Ligue 1,Nantes,AS Monaco,0.3297,0.361
Italy Serie A,AS Roma,Udinese,0.7204,0.0918
Spanish Primera Division,Barcelona,Real Betis,0.9591,0.0071
Barclays Premier League,Leicester City,Arsenal,0.2505,0.5056
French Ligue 1,Lorient,Bastia,0.4494,0.2507
French Ligue 1,Stade Rennes,AS Nancy Lorraine,0.4221,0.2762
French Ligue 1,Toulouse,Bordeaux,0.4035,0.2985
French Ligue 1,Angers,Nice,0.4291,0.255
French Ligue 1,Lille,Dijon FCO,0.5577,0.1749
Spanish Primera Division,Granada,Villarreal,0.3194,0.3917
Italy Serie A,Juventus,Fiorentina,0.6808,0.101
Spanish Primera Division,Sevilla FC,Espanyol,0.5952,0.176
Barclays Premier League,Sunderland,Middlesbrough,0.4393,0.2722
French Ligue 1,Guingamp,Marseille,0.4145,0.2853
Barclays Premier League,West Ham United,AFC Bournemouth,0.4867,0.2569
