French Ligue 1,Bastia,Paris Saint-Germain,0.0463,0.838,0.1157
French Ligue 1,AS Monaco,Guingamp,0.5714,0.1669,0.2617
Barclays Premier League,Hull City,Leicester City,0.3459,0.3621,0.2921
Barclays Premier League,Crystal Palace,West Bromwich Albion,0.4214,0.2939,0.2847
Barclays Premier League,Everton,Tottenham Hotspur,0.391,0.3401,0.2689
Barclays Premier League,Middlesbrough,Stoke City,0.438,0.2692,0.2927
Barclays Premier League,Burnley,Swansea City,0.4482,0.2663,0.2854
Barclays Premier League,Southampton,Watford,0.5759,0.1874,0.2367
French Ligue 1,Bordeaux,St Etienne,0.4232,0.2764,0.3004
Barclays Premier League,Manchester City,Sunderland,0.8152,0.0525,0.1323
French Ligue 1,Metz,Lille,0.3444,0.3479,0.3077
French Ligue 1,Caen,Lorient,0.4737,0.2401,0.2862
French Ligue 1,Montpellier,Angers,0.4939,0.2109,0.2952
French Ligue 1,Dijon FCO,Nantes,0.4471,0.249,0.3038
Barclays Premier League,AFC Bournemouth,Manchester United,0.2111,0.5461,0.2428
French Ligue 1,AS Nancy Lorraine,Lyon,0.3584,0.3551,0.2865
Barclays Premier League,Arsenal,Liverpool,0.5551,0.2115,0.2334
French Ligue 1,Nice,Stade Rennes,0.475,0.2298,0.2952
French Ligue 1,Marseille,Toulouse,0.5033,0.2126,0.284
Barclays Premier League,Chelsea,West Ham United,0.6908,0.1177,0.1915
Spanish Primera Division,Málaga,Osasuna,0.5475,0.1897,0.2628
French Ligue 1,Lyon,Caen,0.6106,0.1554,0.234
Barclays Premier League,Manchester United,Southampton,0.6197,0.1494,0.2309
Spanish Primera Division,Deportivo La Coruña,Eibar,0.5003,0.226,0.2738
Barclays Premier League,Stoke City,Manchester City,0.1278,0.672,0.2002
Barclays Premier League,Tottenham Hotspur,Crystal Palace,0.6638,0.119,0.2172
Barclays Premier League,West Bromwich Albion,Everton,0.3696,0.3491,0.2814
Barclays Premier League,Watford,Chelsea,0.1955,0.5783,0.2262
Barclays Premier League,Swansea City,Hull City,0.4993,0.2171,0.2836
Barclays Premier League,Burnley,Liverpool,0.2079,0.552,0.2402
French Ligue 1,Nantes,AS Monaco,0.3297,0.361,0.3092
Italy Serie A,AS Roma,Udinese,0.7204,0.0918,0.1878
Spanish Primera Division,Barcelona,Real Betis,0.9591,0.0071,0.0337
Barclays Premier League,Leicester City,Arsenal,0.2505,0.5056,0.2439
French Ligue 1,Lorient,Bastia,0.4494,0.2507,0.3
French Ligue 1,Stade Rennes,AS Nancy Lorraine,0.4221,0.2762,0.3017
French Ligue 1,Toulouse,Bordeaux,0.4035,0.2985,0.298
French Ligue 1,Angers,Nice,0.4291,0.255,0.3159
French Ligue 1,Lille,Dijon FCO,0.5577,0.1749,0.2674
Spanish Primera Division,Granada,Villarreal,0.3194,0.3917,0.2889
Italy Serie A,Juventus,Fiorentina,0.6808,0.101,0.2182
Spanish Primera Division,Sevilla FC,Espanyol,0.5952,0.176,0.2288
Barclays Premier League,Sunderland,Middlesbrough,0.4393,0.2722,0.2885
French Ligue 1,Guingamp,Marseille,0.4145,0.2853,0.3002
Barclays Premier League,West Ham United,AFC Bournemouth,0.4867,0.2569,0.2564
French Ligue 1,St Etienne,Montpellier,0.5122,0.204,0.2839
Italy Serie A,AC Milan,Torino,0.5185,0.207,0.2745
Spanish Primera Division,Sporting Gijón,Athletic Bilbao,0.3598,0.3534,0.2868
Spanish Primera Division,Real Sociedad,Real Madrid,0.1587,0.6621,0.1792
Italy Serie A,Palermo,Sassuolo,0.4172,0.2941,0.2887
Italy Serie A,Empoli,Sampdoria,0.5049,0.2174,0.2777
Italy Serie A,Atalanta,Lazio,0.3001,0.4177,0.2823
Italy Serie A,US Pescara,Napoli,0.2364,0.5183,0.2452
Italy Serie A,Bologna,Crotone,0.4893,0.2072,0.3034
Italy Serie A,Chievo Verona,Internazionale,0.2611,0.4492,0.2897
Italy Serie A,Genoa,Cagliari,0.442,0.2767,0.2813
French Ligue 1,Paris Saint-Germain,Metz,0.8277,0.0492,0.1231
Spanish Primera Division,Atletico Madrid,Alavés,0.8037,0.0395,0.1568
Spanish Primera Division,Celta Vigo,Leganes,0.5343,0.2096,0.2561
Spanish Primera Division,Valencia,Las Palmas,0.6235,0.1562,0.2202
German Bundesliga,Bayern Munich,Werder Bremen,0.9443,0.0098,0.0459
Spanish Primera Division,Real Betis,Deportivo La Coruña,0.4984,0.2464,0.2552
French Ligue 1,Marseille,Lorient,0.5488,0.1801,0.2711
Spanish Primera Division,Espanyol,Málaga,0.4262,0.302,0.2718
Barclays Premier League,Tottenham Hotspur,Liverpool,0.3967,0.3444,0.2589
German Bundesliga,Eintracht Frankfurt,Schalke 04,0.3667,0.3682,0.2651
German Bundesliga,Borussia Dortmund,Mainz,0.7775,0.0683,0.1543
German Bundesliga,Hamburg SV,FC Ingolstadt 04,0.4735,0.2526,0.2739
German Bundesliga,FC Augsburg,VfL Wolfsburg,0.3472,0.3901,0.2626
German Bundesliga,FC Cologne,SV Darmstadt 98,0.5068,0.2196,0.2736
Barclays Premier League,Southampton,Sunderland,0.5952,0.1609,0.2439
Barclays Premier League,Watford,Arsenal,0.1698,0.6133,0.2169
Barclays Premier League,Everton,Stoke City,0.547,0.1954,0.2575
Barclays Premier League,Crystal Palace,AFC Bournemouth,0.3985,0.3146,0.2869
Barclays Premier League,Chelsea,Burnley,0.7139,0.0914,0.1947
Barclays Premier League,Leicester City,Swansea City,0.5351,0.2056,0.2593
French Ligue 1,Dijon FCO,Lyon,0.2696,0.452,0.2784
Italy Serie A,Lazio,Juventus,0.2327,0.4949,0.2724
Spanish Primera Division,Eibar,Valencia,0.3347,0.395,0.2703
Spanish Primera Division,Osasuna,Real Sociedad,0.3982,0.3152,0.2866
Barclays Premier League,Hull City,Manchester United,0.175,0.5752,0.2498
German Bundesliga,Borussia Monchengladbach,Bayer Leverkusen,0.3691,0.3679,0.263
French Ligue 1,AS Nancy Lorraine,Guingamp,0.4468,0.2594,0.2937
French Ligue 1,Caen,Bastia,0.454,0.2498,0.2962
French Ligue 1,Metz,Angers,0.4607,0.2374,0.3019
French Ligue 1,Montpellier,Stade Rennes,0.4756,0.2305,0.2939
French Ligue 1,Nice,Lille,0.3783,0.3137,0.308
Spanish Primera Division,Real Madrid,Celta Vigo,0.8904,0.0284,0.0812
Italy Serie A,Napoli,AC Milan,0.5484,0.1997,0.2519
Spanish Primera Division,Leganes,Atletico Madrid,0.2069,0.5211,0.2721
